NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2483|Vruchtendrank ACE gem|Fruit juice drink ACE av|2638|Vruchtendrank ACE Fruxano/Super/Tasting Good|Fruit juice dk ACE Fruxano/Super/Tasting|50,0
NEVO-Online 2021 7.0|2487|Soep op groente- en vleesbasis kant-en-klaar blik/zak/pak|Soup veg & meat based ready made|800|Soep op groentebasis kant-en-klaar blik/zak/pak|Soup vegetable based ready made|50,0
NEVO-Online 2021 7.0|2487|Soep op groente- en vleesbasis kant-en-klaar blik/zak/pak|Soup veg & meat based ready made|801|Soep op vleesbasis kant-en-klaar blik/zak/pak|Soup meat based ready made|50,0
NEVO-Online 2021 7.0|2488|Soep op groente- en vleesbasis bereid pakje|Soup vegetable & meat based prepared pack|797|Soep op groentebasis bereid pakje|Soup vegetable based dried packet prep|50,0
NEVO-Online 2021 7.0|2488|Soep op groente- en vleesbasis bereid pakje|Soup vegetable & meat based prepared pack|798|Soep op vleesbasis bereid pakje|Soup meat based dried packet prepared|50,0
NEVO-Online 2021 7.0|2495|Melk chocolade- m halfvolle melk en gezoete cacaopoeder|Milk chocolate-flavoured w s-sk milk and sweetened cocoa powder|286|Melk halfvolle|Milk semi-skimmed|90,0
NEVO-Online 2021 7.0|2495|Melk chocolade- m halfvolle melk en gezoete cacaopoeder|Milk chocolate-flavoured w s-sk milk and sweetened cocoa powder|535|Cacaopoeder gezoet|Cocoa powder sweetened|10,0
NEVO-Online 2021 7.0|2496|Zuiveldrank Fruitmelk Campina|Dairy drink Campina Fruitmelk|286|Melk halfvolle|Milk semi-skimmed|90,0
NEVO-Online 2021 7.0|2496|Zuiveldrank Fruitmelk Campina|Dairy drink Campina Fruitmelk|377|Suiker kristal-|Sugar granulated|5,0
NEVO-Online 2021 7.0|2496|Zuiveldrank Fruitmelk Campina|Dairy drink Campina Fruitmelk|383|Sap appel-|Juice apple|5,0
NEVO-Online 2021 7.0|2498|Tomaat gezeefd pak|Tomato sieved pack|2293|Tomaat in blik|Tomatoes tinned|100,0
NEVO-Online 2021 7.0|2501|Yoghurt vruchten- halfvolle |Yoghurt half fat w fruit|284|Yoghurt vruchten- magere|Yoghurt low fat w fruit|50,0
NEVO-Online 2021 7.0|2501|Yoghurt vruchten- halfvolle |Yoghurt half fat w fruit|863|Yoghurt vruchten- volle|Yoghurt full fat w fruit|50,0
